사진이름,설명,카테고리 id,썸네일 사진 url
White Desk,다리받침의 높이를 조절할 수 있어서 고르지 않은 바닥에도 안정적으로 세울 수 있습니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/White%20Desk1.png?raw=true
Wood Long Desk,가로 길이가 길어 효율적인 작업 공간을 제공합니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Wood%20Long%20Desk1.png?raw=true
Ivory Brown Desk,몽글몽글해지는 색상의 책상에서 기분좋게 작업해보세요.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Ivory%20Brown%20Desk1.png?raw=true
Study Wood Desk,튼튼하고 무게가 무겁지 않아 학습용 책상으로 적합합니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Study%20Wood%20Desk%201.png?raw=true
One Leg Table,카페에 온듯한 기분이 드는 테이블입니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/One%20Leg%20Table1.jpg?raw=true
Tiny White Desk,작은 사이즈지만 다양한 용도로 사용가능한 귀여운 책상입니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Tiny%20White%20Desk1.png?raw=true
We Work O Table,위워크에서도 쓰는 원형테이블이에요,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/We%20Work%20O%20Table1.jpeg?raw=true
Wooden Circle Table,30년 경력의 장인이 직접 만들었습니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/%EB%AA%A9%EC%9E%AC%EC%9B%90%ED%98%95%ED%85%8C%EC%9D%B4%EB%B8%941.jpg?raw=true
White Long Desk,좁고 긴 책상으로 선반 대용으로도 사용 가능합니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/White%20Long%20Desk1.png?raw=true
white O Table,깔끔한 화이트 색상의 원형 테이블,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/White%20O%20Table1.jpg?raw=true
Wood Mood Desk,따뜻한 느낌의 원목 그대로의 감성을 느껴보세요.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Wood%20Mood%20Desk1.png?raw=true
Wooden Table No Mental,철제 프레임이 없는 100%원목 테이블.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Wooden%20Table%20No%20Metal1.jpg?raw=true
We Work Table,위워크에서 쓰는 사각테이블,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/We%20Work%20Table1.jpeg?raw=true
